audio_file_path,track,psalm_number,section_number,verse_number,section_title,part_number,text
audio/st-pauls-scott/disc01/track01/segment000.flac,01,1,1,1,"Beatus vir, qui non abiit, &c.",1,
audio/st-pauls-scott/disc01/track01/segment001.flac,01,1,1,1,"Beatus vir, qui non abiit, &c.",1,"BLESSED is the man that hath not walked in the counsel of the ungodly, nor stood in the way of sinners"
audio/st-pauls-scott/disc01/track01/segment002.flac,01,1,1,1,"Beatus vir, qui non abiit, &c.",2,and hath not sat in the seat of the scornful.
audio/st-pauls-scott/disc01/track01/segment003.flac,01,1,1,2,"Beatus vir, qui non abiit, &c.",1,But his delight is in the law of the Lord
audio/st-pauls-scott/disc01/track01/segment004.flac,01,1,1,2,"Beatus vir, qui non abiit, &c.",2,and in his law will he exercise himself day and night.
audio/st-pauls-scott/disc01/track01/segment005.flac,01,1,1,3,"Beatus vir, qui non abiit, &c.",1,And he shall be like a tree planted by the water-side
audio/st-pauls-scott/disc01/track01/segment006.flac,01,1,1,3,"Beatus vir, qui non abiit, &c.",2,that will bring forth his fruit in due season.
audio/st-pauls-scott/disc01/track01/segment007.flac,01,1,1,4,"Beatus vir, qui non abiit, &c.",1,His leaf also shall not wither
audio/st-pauls-scott/disc01/track01/segment008.flac,01,1,1,4,"Beatus vir, qui non abiit, &c.",2,"and look, whatsoever he doeth, it shall prosper."
audio/st-pauls-scott/disc01/track01/segment009.flac,01,1,1,5,"Beatus vir, qui non abiit, &c.",1,"As for the ungodly, it is not so with them"
audio/st-pauls-scott/disc01/track01/segment010.flac,01,1,1,5,"Beatus vir, qui non abiit, &c.",2,"but they are like the chaff, which the wind scattereth away from the face of the earth."
audio/st-pauls-scott/disc01/track01/segment011.flac,01,1,1,6,"Beatus vir, qui non abiit, &c.",1,Therefore the ungodly shall not be able to stand in the judgement
audio/st-pauls-scott/disc01/track01/segment012.flac,01,1,1,6,"Beatus vir, qui non abiit, &c.",2,neither the sinners in the congregation of the righteous.
audio/st-pauls-scott/disc01/track01/segment013.flac,01,1,1,7,"Beatus vir, qui non abiit, &c.",1,But the Lord knoweth the way of the righteous
audio/st-pauls-scott/disc01/track01/segment014.flac,01,1,1,7,"Beatus vir, qui non abiit, &c.",2,and the way of the ungodly shall perish.
audio/st-pauls-scott/disc01/track01/segment015.flac,01,1,,,Doxology,1,Glory be to the Father
audio/st-pauls-scott/disc01/track01/segment016.flac,01,1,,,Doxology,2,"and to the Son, and to the Holy Ghost"
audio/st-pauls-scott/disc01/track01/segment017.flac,01,1,,,Doxology,1,"As it was in the beginning, is now, and ever shall be"
audio/st-pauls-scott/disc01/track01/segment018.flac,01,1,,,Doxology,2,world without end. Amen.
audio/st-pauls-scott/disc01/track01/segment019.flac,01,1,,,Doxology,2,
audio/st-pauls-scott/disc01/track02/segment000.flac,02,2,1,1,Quare fremuerunt gentes?,1,
audio/st-pauls-scott/disc01/track02/segment001.flac,02,2,1,1,Quare fremuerunt gentes?,1,WHY do the heathen so furiously rage together
audio/st-pauls-scott/disc01/track02/segment002.flac,02,2,1,1,Quare fremuerunt gentes?,2,and why do the people imagine a vain thing?
audio/st-pauls-scott/disc01/track02/segment003.flac,02,2,1,2,Quare fremuerunt gentes?,1,"The kings of the earth stand up, and the rulers take counsel together"
audio/st-pauls-scott/disc01/track02/segment004.flac,02,2,1,2,Quare fremuerunt gentes?,2,"against the Lord, and against his Anointed."
audio/st-pauls-scott/disc01/track02/segment005.flac,02,2,1,3,Quare fremuerunt gentes?,1,Let us break their bonds asunder
audio/st-pauls-scott/disc01/track02/segment006.flac,02,2,1,3,Quare fremuerunt gentes?,2,and cast away their cords from us.
audio/st-pauls-scott/disc01/track02/segment007.flac,02,2,1,4,Quare fremuerunt gentes?,1,He that dwelleth in heaven shall laugh them to scorn
audio/st-pauls-scott/disc01/track02/segment008.flac,02,2,1,4,Quare fremuerunt gentes?,2,the Lord shall have them in derision.
audio/st-pauls-scott/disc01/track02/segment009.flac,02,2,1,5,Quare fremuerunt gentes?,1,Then shall he speak unto them in his wrath
audio/st-pauls-scott/disc01/track02/segment010.flac,02,2,1,5,Quare fremuerunt gentes?,2,and vex them in his sore displeasure.
audio/st-pauls-scott/disc01/track02/segment011.flac,02,2,1,6,Quare fremuerunt gentes?,1,Yet have I set my King
audio/st-pauls-scott/disc01/track02/segment012.flac,02,2,1,6,Quare fremuerunt gentes?,2,upon my holy hill of Sion.
audio/st-pauls-scott/disc01/track02/segment013.flac,02,2,1,7,Quare fremuerunt gentes?,1,I will preach the law
audio/st-pauls-scott/disc01/track02/segment014.flac,02,2,1,7,Quare fremuerunt gentes?,2,"whereof the Lord hath said unto me, Thou art my Son, this day have I begotten thee."
audio/st-pauls-scott/disc01/track02/segment015.flac,02,2,1,8,Quare fremuerunt gentes?,1,"Desire of me, and I shall give thee the heathen for thine inheritance,"
audio/st-pauls-scott/disc01/track02/segment016.flac,02,2,1,8,Quare fremuerunt gentes?,2,and the utmost parts of the earth for thy possession.
audio/st-pauls-scott/disc01/track02/segment017.flac,02,2,1,9,Quare fremuerunt gentes?,1,Thou shalt bruise them with a rod of iron
audio/st-pauls-scott/disc01/track02/segment018.flac,02,2,1,9,Quare fremuerunt gentes?,2,and break them in pieces like a potter's vessel.
audio/st-pauls-scott/disc01/track02/segment019.flac,02,2,1,10,Quare fremuerunt gentes?,1,"Be wise now therefore, O ye kings"
audio/st-pauls-scott/disc01/track02/segment020.flac,02,2,1,10,Quare fremuerunt gentes?,2,"be learned, ye that are judges of the earth."
audio/st-pauls-scott/disc01/track02/segment021.flac,02,2,1,11,Quare fremuerunt gentes?,1,Serve the Lord in fear
