psalm_number,section_number,verse_number,section_title,part_number,text
1,1,1,"Beatus vir, qui non abiit, &c.",1,"BLESSED is the man that hath not walked in the counsel of the ungodly, nor stood in the way of sinners"
1,1,1,"Beatus vir, qui non abiit, &c.",2,and hath not sat in the seat of the scornful.
1,1,2,"Beatus vir, qui non abiit, &c.",1,But his delight is in the law of the Lord
1,1,2,"Beatus vir, qui non abiit, &c.",2,and in his law will he exercise himself day and night.
1,1,3,"Beatus vir, qui non abiit, &c.",1,And he shall be like a tree planted by the water-side
1,1,3,"Beatus vir, qui non abiit, &c.",2,that will bring forth his fruit in due season.
1,1,4,"Beatus vir, qui non abiit, &c.",1,His leaf also shall not wither
1,1,4,"Beatus vir, qui non abiit, &c.",2,"and look, whatsoever he doeth, it shall prosper."
1,1,5,"Beatus vir, qui non abiit, &c.",1,"As for the ungodly, it is not so with them"
1,1,5,"Beatus vir, qui non abiit, &c.",2,"but they are like the chaff, which the wind scattereth away from the face of the earth."
1,1,6,"Beatus vir, qui non abiit, &c.",1,Therefore the ungodly shall not be able to stand in the judgement
1,1,6,"Beatus vir, qui non abiit, &c.",2,neither the sinners in the congregation of the righteous.
1,1,7,"Beatus vir, qui non abiit, &c.",1,But the Lord knoweth the way of the righteous
1,1,7,"Beatus vir, qui non abiit, &c.",2,and the way of the ungodly shall perish.
1,2,9,Doxology,1,Glory be to the Father
1,2,9,Doxology,2,"and to the Son, and to the Holy Ghost"
1,2,8,Doxology,1,"As it was in the beginning, is now, and ever shall be"
1,2,8,Doxology,2,world without end. Amen.
2,1,1,Quare fremuerunt gentes?,1,WHY do the heathen so furiously rage together
2,1,1,Quare fremuerunt gentes?,2,and why do the people imagine a vain thing?
2,1,2,Quare fremuerunt gentes?,1,"The kings of the earth stand up, and the rulers take counsel together"
2,1,2,Quare fremuerunt gentes?,2,"against the Lord, and against his Anointed."
2,1,3,Quare fremuerunt gentes?,1,Let us break their bonds asunder
2,1,3,Quare fremuerunt gentes?,2,and cast away their cords from us.
2,1,4,Quare fremuerunt gentes?,1,He that dwelleth in heaven shall laugh them to scorn
2,1,4,Quare fremuerunt gentes?,2,the Lord shall have them in derision.
2,1,5,Quare fremuerunt gentes?,1,Then shall he speak unto them in his wrath
2,1,5,Quare fremuerunt gentes?,2,and vex them in his sore displeasure.
2,1,6,Quare fremuerunt gentes?,1,Yet have I set my King
2,1,6,Quare fremuerunt gentes?,2,upon my holy hill of Sion.
2,1,7,Quare fremuerunt gentes?,1,I will preach the law
2,1,7,Quare fremuerunt gentes?,2,"whereof the Lord hath said unto me, Thou art my Son, this day have I begotten thee."
2,1,8,Quare fremuerunt gentes?,1,"Desire of me, and I shall give thee the heathen for thine inheritance,"
2,1,8,Quare fremuerunt gentes?,2,and the utmost parts of the earth for thy possession.
2,1,9,Quare fremuerunt gentes?,1,Thou shalt bruise them with a rod of iron
2,1,9,Quare fremuerunt gentes?,2,and break them in pieces like a potter's vessel.
2,1,10,Quare fremuerunt gentes?,1,"Be wise now therefore, O ye kings"
2,1,10,Quare fremuerunt gentes?,2,"be learned, ye that are judges of the earth."
2,1,11,Quare fremuerunt gentes?,1,Serve the Lord in fear
2,1,11,Quare fremuerunt gentes?,2,and rejoice unto him with reverence.
2,1,12,Quare fremuerunt gentes?,1,"Kiss the Son, lest he be angry, and so ye perish from the right way"
2,1,12,Quare fremuerunt gentes?,2,"if his wrath be kindled, (yea but a little) blessed are all they that put their trust in him."
2,2,13,Doxology,1,Glory be to the Father
2,2,13,Doxology,2,"and to the Son, and to the Holy Ghost"
2,2,14,Doxology,1,"As it was in the beginning, is now, and ever shall be"
2,2,14,Doxology,2,world without end. Amen.
3,1,1,"Domine, quid multiplicati",1,"LORD, how are they increased that trouble me!"
3,1,1,"Domine, quid multiplicati",2,many are they that rise against me.
3,1,2,"Domine, quid multiplicati",1,Many one there be that say of my soul
3,1,2,"Domine, quid multiplicati",2,There is no help for him in his God.
3,1,3,"Domine, quid multiplicati",1,"But thou, O Lord, art my defender"
3,1,3,"Domine, quid multiplicati",2,"thou art my worship, and the lifter up of my head."
3,1,4,"Domine, quid multiplicati",1,I did call upon the Lord with my voice
3,1,4,"Domine, quid multiplicati",2,and he heard me out of his holy hill.
3,1,5,"Domine, quid multiplicati",1,"I laid me down and slept, and rose up again"
3,1,5,"Domine, quid multiplicati",2,for the Lord sustained me.
3,1,6,"Domine, quid multiplicati",1,I will not be afraid for ten thousands of the people
3,1,6,"Domine, quid multiplicati",2,that have set themselves against me round about.
3,1,7,"Domine, quid multiplicati",1,"Up, Lord, and help me, O my God"
3,1,7,"Domine, quid multiplicati",2,for thou smitest all mine enemies upon the cheek-bone; thou hast broken the teeth of the ungodly.
3,1,8,"Domine, quid multiplicati",1,Salvation belongeth unto the Lord
3,1,8,"Domine, quid multiplicati",2,and thy blessing is upon thy people.
3,2,9,Doxology,1,Glory be to the Father
3,2,9,Doxology,2,"and to the Son, and to the Holy Ghost"
3,2,10,Doxology,1,"As it was in the beginning, is now, and ever shall be"
3,2,10,Doxology,2,world without end. Amen.
4,1,1,Cum invocarem,1,"HEAR me when I call, O God of my righteousness"
4,1,1,Cum invocarem,2,"thou hast set me at liberty when I was in trouble; have mercy upon me, and hearken unto my prayer."
4,1,2,Cum invocarem,1,"O ye sons of men, how long will ye blaspheme mine honour"
4,1,2,Cum invocarem,2,"and have such pleasure in vanity, and seek after leasing?"
4,1,3,Cum invocarem,1,"Know this also, that the Lord hath chosen to himself the man that is godly"
4,1,3,Cum invocarem,2,when I call upon the Lord he will hear me.
4,1,4,Cum invocarem,1,"Stand in awe, and sin not"
4,1,4,Cum invocarem,2,"commune with your own heart, and in your chamber, and be still."
4,1,5,Cum invocarem,1,Offer the sacrifice of righteousness
4,1,5,Cum invocarem,2,and put your trust in the Lord.
4,1,6,Cum invocarem,1,There be many that say
4,1,6,Cum invocarem,2,Who will show us any good?
4,1,7,Cum invocarem,1,"Lord, lift thou up"
4,1,7,Cum invocarem,2,the light of thy countenance upon us.
4,1,8,Cum invocarem,1,Thou hast put gladness in my heart
4,1,8,Cum invocarem,2,since the time that their corn and wine and oil increased.
4,1,9,Cum invocarem,1,"I will lay me down in peace, and take my rest"
4,1,9,Cum invocarem,2,"for it is thou, Lord, only, that makest me dwell in safety."
4,2,11,Doxology,1,Glory be to the Father
4,2,11,Doxology,2,"and to the Son, and to the Holy Ghost"
4,2,10,Doxology,1,"As it was in the beginning, is now, and ever shall be"
4,2,10,Doxology,2,world without end. Amen.
5,1,1,Verba mea auribus,1,"PONDER my words, O Lord"
5,1,1,Verba mea auribus,2,consider my meditation.
5,1,2,Verba mea auribus,1,"O hearken thou unto the voice of my calling, my King and my God"
5,1,2,Verba mea auribus,2,for unto thee will I make my prayer.
